seed,class,support,baseline_accuracy,tdnr_accuracy,delta
1,0,300,1.0,1.0,0.0
1,1,5,0.0,1.0,1.0
1,2,364,0.9862637362637363,0.9945054945054945,0.008241758241758212
1,3,2030,0.9866995073891626,1.0,0.013300492610837433
1,4,723,0.8091286307053942,1.0,0.1908713692946058
1,5,869,0.0,0.0,0.0
1,6,132,0.5227272727272727,0.5909090909090909,0.06818181818181823
1,7,44,0.0,0.9090909090909091,0.9090909090909091
1,8,228,0.7675438596491229,0.7675438596491229,0.0
1,9,353,0.0,1.0,1.0
1,10,27,0.0,0.0,0.0
1,11,18,0.0,0.0,0.0
1,12,2835,0.9925925925925926,0.9985890652557319,0.005996472663139296
1,13,35,0.0,0.37142857142857144,0.37142857142857144
2,0,300,1.0,1.0,0.0
2,1,5,0.0,1.0,1.0
2,2,364,0.9862637362637363,0.9945054945054945,0.008241758241758212
2,3,2030,0.9866995073891626,0.9995073891625615,0.012807881773398977
2,4,723,0.8091286307053942,0.1908713692946058,-0.6182572614107884
2,5,869,0.0,1.0,1.0
2,6,132,0.5227272727272727,0.5909090909090909,0.06818181818181823
2,7,44,0.0,0.9318181818181818,0.9318181818181818
2,8,228,0.7675438596491229,0.7631578947368421,-0.004385964912280715
2,9,353,0.0,1.0,1.0
2,10,27,0.0,0.0,0.0
2,11,18,0.0,0.05555555555555555,0.05555555555555555
2,12,2835,0.9925925925925926,0.9985890652557319,0.005996472663139296
2,13,35,0.0,0.37142857142857144,0.37142857142857144
3,0,300,1.0,1.0,0.0
3,1,5,0.0,1.0,1.0
3,2,364,0.9862637362637363,0.9945054945054945,0.008241758241758212
3,3,2030,0.9866995073891626,0.9995073891625615,0.012807881773398977
3,4,723,0.8091286307053942,0.1908713692946058,-0.6182572614107884
3,5,869,0.0,1.0,1.0
3,6,132,0.5227272727272727,0.5909090909090909,0.06818181818181823
3,7,44,0.0,0.9318181818181818,0.9318181818181818
3,8,228,0.7675438596491229,0.7587719298245614,-0.00877192982456143
3,9,353,0.0,1.0,1.0
3,10,27,0.0,0.0,0.0
3,11,18,0.0,0.0,0.0
3,12,2835,0.9925925925925926,0.9985890652557319,0.005996472663139296
3,13,35,0.0,0.37142857142857144,0.37142857142857144
