seed,class,support,baseline_accuracy,tdnr_accuracy,delta
1,0,493,0.7525354969574036,0.8884381338742393,0.13590263691683568
1,1,714,0.6288515406162465,0.9145658263305322,0.2857142857142857
1,2,1834,0.9487459105779716,0.9830970556161396,0.03435114503816794
1,3,2727,0.9798313164649798,0.9911991199119912,0.011367803447011382
1,4,5,0.0,0.0,0.0
1,5,469,0.8081023454157783,0.9658848614072495,0.1577825159914712
1,6,379,0.712401055408971,0.9340369393139841,0.2216358839050131
1,7,1134,0.9735449735449735,0.9735449735449735,0.0
1,8,20,0.0,0.15,0.15
1,9,307,0.996742671009772,0.996742671009772,0.0
1,10,161,0.0,0.031055900621118012,0.031055900621118012
1,11,216,0.7083333333333334,0.8842592592592593,0.17592592592592593
2,0,493,0.7525354969574036,0.9452332657200812,0.19269776876267752
2,1,714,0.6288515406162465,0.9355742296918768,0.3067226890756303
2,2,1834,0.9487459105779716,0.9869138495092693,0.03816793893129766
2,3,2727,0.9798313164649798,0.9926659332599926,0.012834616795012854
2,4,5,0.0,0.6,0.6
2,5,469,0.8081023454157783,0.9786780383795309,0.17057569296375263
2,6,379,0.712401055408971,0.9709762532981531,0.25857519788918204
2,7,1134,0.9735449735449735,0.9770723104056437,0.003527336860670194
2,8,20,0.0,0.85,0.85
2,9,307,0.996742671009772,0.996742671009772,0.0
2,10,161,0.0,0.06832298136645963,0.06832298136645963
2,11,216,0.7083333333333334,0.9490740740740741,0.2407407407407407
3,0,493,0.7525354969574036,0.9350912778904665,0.1825557809330629
3,1,714,0.6288515406162465,0.9397759103641457,0.31092436974789917
3,2,1834,0.9487459105779716,0.9874591057797165,0.03871319520174488
3,3,2727,0.9798313164649798,0.9911991199119912,0.011367803447011382
3,4,5,0.0,0.0,0.0
3,5,469,0.8081023454157783,0.9808102345415778,0.17270788912579949
3,6,379,0.712401055408971,0.9656992084432717,0.2532981530343007
3,7,1134,0.9735449735449735,0.9788359788359788,0.005291005291005346
3,8,20,0.0,1.0,1.0
3,9,307,0.996742671009772,0.996742671009772,0.0
3,10,161,0.0,0.11180124223602485,0.11180124223602485
3,11,216,0.7083333333333334,0.9629629629629629,0.25462962962962954
